Winner,Loser
Ball St.,Eastern Ill.
Michigan,Elon
Fairleigh Dickinson,FDU- Florham
FGCU,Texas Wesleyan
FIU,Fla. Memorial
Florida,N.C. A&T
Fresno St.,Lamar University
Houston Baptist,Crowley's Ridge
Idaho St.,Dickinson St.
Indiana,Austin Peay
Jacksonville St.,Oakwood
Kansas St.,Columbia
LSU,Kennesaw St.
Longwood,La Roche
Canisius,Lehigh
Long Beach St.,BYU
Loyola Maryland,LIU Brooklyn
Fort Wayne,Manchester
Saint Mary's (CA),Manhattan
Marquette,IUPUI
Mercer,George Mason
Miami (FL),Louisiana
Hofstra,Molloy
Southern California,Monmouth
Illinois St.,Morehead St.
Towson,Morgan St.
N.C. Central,Allen
UNLV,N.M. Highlands
Hawaii,Nevada
North Texas,Texas Col.
Northwestern St.,LSU-Alexandria
Ohio,Tennessee St.
Oklahoma St.,Ark.-Pine Bluff
Old Dominion,Buffalo
Ole Miss,Ga. Southern
South Carolina,Oral Roberts
Oregon,Baylor
Pepperdine,San Diego Christian
Presbyterian,USC Upstate
San Francisco,Rice
Yale,Sacred Heart
Utah,San Diego St.
San Jose St.,Montana
Savannah St.,Campbell
South Carolina St.,Voorhees
South Fla.,NJIT
Mississippi St.,Southern U.
Georgia Tech,Tennessee
Air Force,Tennessee Tech
Texas A&M,Southeastern La.
Texas St.,Texas-Tyler
St. John's (NY),UMBC
UNCW,Eastern Ky.
UT Martin,Bethune-Cookman
North Florida,UTRGV
VCU,Radford
Vanderbilt,Gardner-Webb
George Washington,Virginia
South Dakota St.,Weber St.
James Madison,West Virginia
Indiana St.,Wyoming
Abilene Christian,Howard Payne
CSU Bakersfield,Idaho
Pacific,Cal St. Fullerton
UNCG,Chowan
Cleveland St.,Malone
Auburn,Colorado
Creighton,UTSA
Marist,Dartmouth
Dayton,Alabama
Penn St.,DePaul
Delaware St.,Penn
Evansville,Marian (IN)
Fla. Atlantic,Warner
Florida St.,Jacksonville
Appalachian St.,Furman
Maryland,Georgetown
Ohio St.,Grambling
Grand Canyon,Black Hills St.
ETSU,Green Bay
American,Hampton
Western Ill.,Ill.-Chicago
Michigan St.,Kansas
Duke,Kentucky
Lipscomb,Oakland City
McNeese,Louisiana Col.
Louisiana Tech,UT Arlington
Louisville,Hartford
Harvard,Massachusetts
Memphis,Oklahoma
Miami (OH),Kenyon
Murray St.,Middle Tenn.
Notre Dame,Milwaukee
Villanova,Nebraska
Norfolk St.,Washington Adventist
Wisconsin,North Dakota
Northeastern,Wentworth
Omaha,UMKC
Oregon St.,Iona
Fordham,Queens (NY)
La Salle,Rider
UNI,SFA
Saint Francis (PA),Westminster (PA)
Sam Houston St.,St. Thomas Houston
Southern Miss.,Jackson St.
St. Francis Brooklyn,CMSV
Pittsburgh,St. Joseph's (IN)
The Citadel,Stetson
Syracuse,St. Bonaventure
Northern Ky.,Tiffin
Tulsa,Wichita St.
UConn,New Hampshire
VMI,Tusculum
Rhode Island,Valparaiso
Western Mich.,San Diego
Liberty,William & Mary
Winthrop,Truett-McConnell
Xavier,Missouri
Arkansas,Akron
Austin Peay,Fort Wayne
Cornell,Binghamton
Niagara,Brown
Saint Joseph's,Buffalo
CSUN,Vanguard
Charleston So.,Johnson & Wales (NC)
Chicago St.,Ind.-Northwest
Bowling Green,Cincinnati
Coastal Caro.,Grace Bible (MI)
Coppin St.,Goldey-Beacom
Bryant,Emerson
Northwestern,Fairfield
Fairleigh Dickinson,Army West Point
Florida A&M,Thomas (GA)
Gonzaga,Northern Ariz.
Drexel,High Point
Houston,Prairie View
Providence,Illinois
Arizona St.,Kennesaw St.
New Mexico,Loyola Chicago
UMBC,Loyola Maryland
NC State,IUPUI
North Carolina,Wofford
North Dakota St.,Valley City St.
North Florida,Edward Waters
Oakland,Eastern Mich.
Old Dominion,Morgan St.
Presbyterian,Toccoa Falls
Purdue,Incarnate Word
Vermont,Quinnipiac
Robert Morris,Bucknell
UMass Lowell,Sacred Heart
SIUE,Saint Louis
San Diego St.,San Diego Christian
Savannah St.,Arkansas St.
Eastern Wash.,Seattle U
Southern Ill.,Kent St.
Tennessee St.,Fisk
New Mexico St.,Tennessee Tech
Youngstown St.,Toledo
UCF,UC Irvine
UNC Asheville,Mars Hill
UNLV,Southern Utah
Denver,Utah Valley
Valparaiso,Ind.-Kokomo
Virginia Tech,Jacksonville St.
Wake Forest,Richmond
Belmont,Western Ky.
Alabama A&M,Southeast Mo. St.
Arizona,Boise St.
Boston College,Central Conn. St.
Virginia,Bradley
Charlotte,Furman
Albany (NY),Colgate
Colorado St.,Loyola Marymount
Georgia St.,Emmanuel (GA)
Fresno St.,San Francisco
Gardner-Webb,Toccoa Falls
Ole Miss,George Mason
Grand Canyon,Alcorn
Georgia Tech,Green Bay
Holy Cross,New Hampshire
TCU,Houston Baptist
Illinois St.,South Dakota St.
Indiana,Creighton
LIU Brooklyn,Maine
LSU,South Ala.
Northwestern St.,La.-Monroe
Lehigh,Yale
Seton Hall,Long Beach St.
Marquette,Iowa
Tennessee,Marshall
Massachusetts,Central Ark.
Memphis,Grambling
Mercer,Alabama St.
Mississippi St.,Miami (FL)
Temple,Minnesota
Air Force,Mississippi Val.
Butler,Missouri St.
Wyoming,N.M. Highlands
NJIT,Boston U.
USC Upstate,Navy
Nebraska,Delaware St.
New Orleans,Pensacola Christian
Nicholls St.,Mobile
Towson,Oklahoma St.
Rice,Oregon St.
UCLA,Pepperdine
St. John's (NY),Rutgers
Saint Peter's,Hartford
UC Riverside,Santa Clara
South Fla.,George Washington
Southern U.,Tulane
Stanford,SMU
Vanderbilt,Stony Brook
Texas A&M,A&M-Corpus Christi
Clemson,Texas Southern
Utah,Texas Tech
