Date,Industry,ret
1927-12-01,Hlth,-0.46
1927-12-01,HiTec,1.22
1927-12-01,Durbl,7.77
1927-12-01,Manuf,3.08
1927-12-01,Utils,2.24
1927-12-01,Other,1.98
1928-01-01,NoDur,0.52
1928-01-01,Durbl,-3.34
1928-01-01,Hlth,2.69
1928-01-01,Other,-0.99
1928-01-01,Utils,5.87
1928-01-01,Shops,-0.88
1928-01-01,Enrgy,-1.86
1928-01-01,HiTec,-0.39
1928-01-01,Telcm,0.3
1928-01-01,Manuf,-0.58
1928-02-01,NoDur,-4.18
1928-02-01,Manuf,-1.88
1928-02-01,Shops,-1.12
1928-02-01,Telcm,-0.3
1928-02-01,Hlth,-1.38
1928-02-01,Enrgy,-0.22
1928-02-01,Other,-2.0
1928-02-01,Utils,-0.68
1928-02-01,Durbl,1.26
1928-02-01,HiTec,-0.46
1928-03-01,Enrgy,5.32
1928-03-01,Shops,8.49
1928-03-01,Manuf,8.19
1928-03-01,NoDur,4.41
1928-03-01,Durbl,27.49
1928-03-01,HiTec,19.42
1928-03-01,Telcm,1.96
1928-03-01,Hlth,10.54
1928-03-01,Other,6.09
1928-03-01,Utils,6.62
1928-04-01,Durbl,1.46
1928-04-01,Shops,0.0
1928-04-01,Enrgy,15.12
1928-04-01,Hlth,2.35
1928-04-01,Utils,10.94
1928-04-01,Manuf,1.5
1928-04-01,NoDur,-0.46
1928-04-01,HiTec,2.23
1928-04-01,Telcm,3.22
1928-04-01,Other,4.22
1928-05-01,Hlth,9.27
1928-05-01,NoDur,0.9
1928-05-01,Enrgy,-5.29
1928-05-01,Utils,1.51
1928-05-01,Shops,3.79
1928-05-01,Other,0.01
1928-05-01,Durbl,5.65
1928-05-01,HiTec,2.3
1928-05-01,Manuf,3.53
1928-05-01,Telcm,6.61
1928-06-01,Durbl,-4.08
1928-06-01,Hlth,-3.15
1928-06-01,HiTec,-5.03
1928-06-01,Other,-4.27
1928-06-01,Telcm,-5.22
1928-06-01,Enrgy,-4.07
1928-06-01,Shops,-3.4
1928-06-01,NoDur,-4.41
1928-06-01,Utils,-3.43
1928-06-01,Manuf,-4.93
1928-07-01,Telcm,-1.28
1928-07-01,NoDur,1.68
1928-07-01,Enrgy,1.05
1928-07-01,Hlth,2.39
1928-07-01,Utils,-1.24
1928-07-01,Shops,5.44
1928-07-01,Manuf,1.99
1928-07-01,Durbl,0.94
