player,age,team_id,per,ws,bpm,year
Quincy Acy,28,PHO,2.9,-0.1,-8.1,2019
Jaylen Adams,22,ATL,7.6,0.1,-4.3,2019
Steven Adams,25,OKC,18.5,9.1,1.1,2019
Bam Adebayo,21,MIA,17.9,6.8,1.8,2019
LaMarcus Aldridge,33,SAS,22.9,9.3,1.8,2019
Grayson Allen,23,UTA,7.5,0.0,-6.3,2019
Jarrett Allen,20,BRK,18.5,7.6,1.6,2019
Al-Farouq Aminu,28,POR,13.2,5.8,0.7,2019
Justin Anderson,25,ATL,11.2,0.4,-2.7,2019
Kyle Anderson,25,MEM,12.8,2.7,0.8,2019
Ike Anigbogu,20,IND,-6.0,-0.1,-16.2,2019
Carmelo Anthony,34,HOU,10.9,0.3,-2.7,2019
OG Anunoby,21,TOR,9.8,2.0,-2.4,2019
Ryan Arcidiacono,24,CHI,11.6,3.7,-1.9,2019
Trevor Ariza,33,PHO,10.5,0.6,-1.1,2019
Trevor Ariza,33,WAS,13.0,1.9,-1.4,2019
Deandre Ayton,20,PHO,20.5,5.8,0.2,2019
Dwayne Bacon,23,CHO,11.7,1.2,-3.7,2019
Ron Baker,25,NYK,4.4,0.0,-6.6,2019
Ron Baker,25,WAS,-2.0,-0.1,-7.9,2019
Wade Baldwin,22,POR,1.3,-0.3,-10.3,2019
Lonzo Ball,21,LAL,11.7,1.6,-0.3,2019
J.J. Barea,34,DAL,16.3,1.0,-0.6,2019
Will Barton,28,DEN,11.0,1.2,-1.8,2019
Nicolas Batum,30,CHO,11.9,3.7,-0.3,2019
Jerryd Bayless,30,MIN,8.5,0.0,-4.6,2019
Aron Baynes,32,BOS,14.0,2.4,-1.5,2019
Kent Bazemore,29,ATL,11.9,0.7,-2.3,2019
Bradley Beal,25,WAS,20.8,7.6,2.9,2019
Malik Beasley,22,DEN,14.2,4.5,0.1,2019
Marco Belinelli,32,SAS,11.9,2.5,-1.7,2019
Jordan Bell,24,GSW,12.9,1.6,-0.9,2019
DeAndre' Bembry,24,ATL,10.8,0.9,-2.4,2019
Dragan Bender,21,PHO,9.5,0.5,-4.1,2019
Patrick Beverley,30,LAC,11.8,4.8,0.9,2019
Khem Birch,26,ORL,19.2,2.8,1.2,2019
Bismack Biyombo,26,CHO,14.4,2.0,-2.5,2019
Nemanja Bjelica,30,SAC,15.4,4.5,0.9,2019
Antonio Blakeney,22,CHI,10.6,-0.5,-5.2,2019
Eric Bledsoe,29,MIL,19.3,8.2,3.1,2019
Jaron Blossomgame,25,CLE,10.2,0.3,-3.8,2019
Andrew Bogut,34,GSW,13.4,0.3,-2.9,2019
Jonah Bolden,23,PHI,12.7,1.4,-0.7,2019
Isaac Bonga,19,LAL,6.0,-0.1,-4.8,2019
Devin Booker,22,PHO,20.2,3.5,1.0,2019
Chris Boucher,26,TOR,22.2,0.7,2.6,2019
Avery Bradley,28,LAC,5.5,-0.3,-4.6,2019
Avery Bradley,28,MEM,14.5,0.7,-0.9,2019
Tony Bradley,21,UTA,19.6,0.1,-6.0,2019
Corey Brewer,32,PHI,10.8,0.1,-3.6,2019
Corey Brewer,32,SAC,12.0,0.8,-0.4,2019
Mikal Bridges,22,PHO,10.8,2.9,-1.6,2019
Miles Bridges,20,CHO,13.1,2.9,-0.8,2019
Isaiah Briscoe,22,ORL,6.7,0.3,-5.0,2019
Ryan Broekhoff,28,DAL,10.7,0.8,-1.0,2019
Dillon Brooks,23,MEM,7.6,0.0,-6.3,2019
MarShon Brooks,30,MEM,11.6,0.1,-3.0,2019
Bruce Brown,22,DET,6.9,1.5,-3.3,2019
Jaylen Brown,22,BOS,13.5,3.0,-2.1,2019
Lorenzo Brown,28,TOR,6.3,-0.1,-3.5,2019
Jalen Brunson,22,DAL,12.8,2.6,-1.7,2019
Thomas Bryant,21,WAS,21.0,5.6,2.0,2019
Reggie Bullock,27,DET,11.0,2.4,-0.6,2019
Reggie Bullock,27,LAL,9.1,0.7,-2.2,2019
Trey Burke,26,NYK,15.6,0.6,-0.6,2019
Trey Burke,26,DAL,17.9,1.3,1.2,2019
Alec Burks,27,UTA,12.4,0.5,-0.6,2019
Alec Burks,27,CLE,13.2,0.9,-1.4,2019
Alec Burks,27,SAC,9.0,0.2,-1.1,2019
Deonte Burton,25,OKC,7.0,0.1,-4.3,2019
Jimmy Butler,29,MIN,22.3,1.3,6.9,2019
Jimmy Butler,29,PHI,19.8,6.6,3.1,2019
Bruno Caboclo,23,MEM,12.4,1.5,-1.1,2019
Kentavious Caldwell-Pope,25,LAL,12.9,4.0,-0.5,2019
Isaiah Canaan,27,PHO,7.3,-0.1,-4.6,2019
Isaiah Canaan,27,MIN,12.3,0.2,-1.3,2019
Isaiah Canaan,27,MIL,5.2,0.0,-4.0,2019
Clint Capela,24,HOU,23.8,10.8,3.0,2019
DeMarre Carroll,32,BRK,12.1,3.1,-1.5,2019
Vince Carter,42,ATL,11.8,1.9,-0.7,2019
Omri Casspi,30,MEM,15.7,1.3,0.4,2019
Willie Cauley-Stein,25,SAC,18.0,6.7,1.2,2019
Troy Caupain,23,ORL,30.7,0.1,13.3,2019
Tyler Cavanaugh,24,UTA,5.0,0.0,-8.4,2019
Tyson Chandler,36,PHO,11.5,0.2,-4.6,2019
Tyson Chandler,36,LAL,11.2,1.9,-1.8,2019
Wilson Chandler,31,PHI,9.1,1.5,-2.0,2019
Wilson Chandler,31,LAC,5.8,0.0,-6.1,2019
Joe Chealey,23,CHO,2.0,0.0,-14.6,2019
Chris Chiozza,23,HOU,7.0,0.0,-1.3,2019
Marquese Chriss,21,HOU,3.4,-0.2,-11.2,2019
Marquese Chriss,21,CLE,10.7,0.0,-6.6,2019
Gary Clark,24,HOU,9.2,1.0,-0.7,2019
Ian Clark,27,NOP,8.3,-0.1,-5.1,2019
Jordan Clarkson,26,CLE,16.8,1.8,-0.5,2019
John Collins,21,ATL,21.8,6.0,0.9,2019
Zach Collins,21,POR,13.5,2.9,-1.2,2019
Darren Collison,31,IND,16.7,6.8,1.8,2019
Bonzie Colson,23,MIL,12.9,0.2,-3.5,2019
Quinn Cook,25,GSW,13.1,1.8,-2.1,2019
DeMarcus Cousins,28,GSW,21.4,2.4,3.0,2019
Torrey Craig,28,DEN,10.4,3.0,-1.9,2019
Jamal Crawford,38,PHO,11.7,0.2,-3.9,2019
Jae Crowder,28,UTA,12.1,4.4,0.3,2019
Dante Cunningham,31,SAS,10.2,1.9,-0.6,2019
Seth Curry,28,POR,11.4,2.4,-1.0,2019
Stephen Curry,30,GSW,24.4,9.7,6.6,2019
Troy Daniels,27,PHO,9.8,0.3,-3.7,2019
Anthony Davis,25,NOP,30.3,9.5,9.4,2019
Ed Davis,29,BRK,17.3,5.7,0.0,2019
Dewayne Dedmon,29,ATL,16.0,4.0,0.5,2019
Sam Dekker,24,CLE,14.0,0.3,-1.1,2019
Sam Dekker,24,WAS,13.2,0.8,-1.9,2019
Matthew Dellavedova,28,MIL,7.5,0.1,-4.1,2019
Matthew Dellavedova,28,CLE,11.5,0.4,-4.5,2019
Luol Deng,33,MIN,14.6,0.8,0.0,2019
DeMar DeRozan,29,SAS,19.6,6.3,1.1,2019
Cheick Diallo,22,NOP,17.5,2.6,-0.9,2019
Hamidou Diallo,20,OKC,10.1,0.8,-4.2,2019
Gorgui Dieng,29,MIN,18.1,2.8,0.6,2019
Tyler Dorsey,22,ATL,7.8,-0.1,-4.9,2019
Tyler Dorsey,22,MEM,13.1,0.7,-2.7,2019
PJ Dozier,22,BOS,16.0,0.1,-2.0,2019
Andre Drummond,25,DET,23.4,10.0,2.1,2019
Jared Dudley,33,BRK,7.8,1.8,-1.8,2019
Kris Dunn,24,CHI,12.4,0.6,-2.7,2019
Kevin Durant,30,GSW,24.2,11.5,5.5,2019
Henry Ellenson,22,DET,14.8,0.1,2.2,2019
Henry Ellenson,22,NYK,12.9,0.3,-1.9,2019
Joel Embiid,24,PHI,26.1,8.7,4.9,2019
James Ennis,28,HOU,11.3,2.2,-0.9,2019
James Ennis,28,PHI,9.9,0.4,-3.7,2019
Drew Eubanks,21,SAS,15.1,0.3,-1.3,2019
Jacob Evans,21,GSW,3.5,-0.1,-8.2,2019
Jawun Evans,22,PHO,0.7,-0.2,-9.2,2019
Jawun Evans,22,OKC,-38.1,0.0,-81.4,2019
Tyreke Evans,29,IND,11.5,0.3,-2.7,2019
Dante Exum,23,UTA,11.2,1.0,-2.1,2019
Kenneth Faried,29,BRK,20.5,0.4,0.4,2019
Kenneth Faried,29,HOU,21.8,2.5,-0.4,2019
Derrick Favors,27,UTA,21.8,7.9,3.3,2019
Raymond Felton,34,OKC,11.2,0.7,-1.3,2019
Yogi Ferrell,25,SAC,12.7,1.9,-1.4,2019
Dorian Finney-Smith,25,DAL,11.0,3.3,-1.4,2019
Bryn Forbes,25,SAS,12.0,3.8,-1.2,2019
Evan Fournier,26,ORL,12.3,3.2,-2.4,2019
De'Aaron Fox,21,SAC,18.1,5.6,1.5,2019
Melvin Frazier,22,ORL,1.2,-0.1,-14.5,2019
Tim Frazier,28,NOP,11.6,1.5,-1.3,2019
Tim Frazier,28,MIL,11.8,0.4,-3.6,2019
Jimmer Fredette,29,PHO,3.6,-0.2,-11.3,2019
Markelle Fultz,20,PHI,10.5,0.3,-3.1,2019
Danilo Gallinari,30,LAC,21.0,8.2,4.3,2019
Langston Galloway,27,DET,10.7,3.4,-1.5,2019
Marc Gasol,34,MEM,16.9,3.9,3.2,2019
Marc Gasol,34,TOR,16.0,2.1,2.9,2019
Pau Gasol,38,SAS,18.0,1.1,3.9,2019
Pau Gasol,38,MIL,1.7,0.0,-4.7,2019
Rudy Gay,32,SAS,17.5,4.4,1.4,2019
Paul George,28,OKC,23.3,11.9,7.2,2019
Shai Gilgeous-Alexander,20,LAC,13.4,3.3,-0.5,2019
Rudy Gobert,26,UTA,24.6,14.4,5.4,2019
Brandon Goodwin,23,DEN,8.3,0.0,-9.5,2019
Aaron Gordon,23,ORL,15.1,5.1,0.6,2019
Eric Gordon,30,HOU,12.2,2.6,-1.3,2019
Marcin Gortat,34,LAC,12.8,1.4,-1.3,2019
Devonte' Graham,23,CHO,10.3,0.5,-4.0,2019
Treveon Graham,25,BRK,6.1,0.5,-3.7,2019
Jerami Grant,24,OKC,13.8,7.3,0.2,2019
Jerian Grant,26,ORL,10.8,1.7,-1.6,2019
Donte Grantham,23,OKC,-38.1,0.0,-37.6,2019
Draymond Green,28,GSW,12.9,4.3,1.4,2019
JaMychal Green,28,MEM,14.9,1.8,-1.8,2019
JaMychal Green,28,LAC,14.3,1.1,-1.5,2019
Jeff Green,32,WAS,13.6,3.6,-1.4,2019
Blake Griffin,29,DET,21.0,8.0,5.1,2019
Dusty Hannahs,25,MEM,4.5,-0.1,-9.7,2019
James Harden,29,HOU,30.6,15.2,11.0,2019
Maurice Harkless,25,POR,13.2,3.4,0.7,2019
Montrezl Harrell,25,LAC,23.4,8.7,3.3,2019
Devin Harris,35,DAL,10.7,1.5,-2.2,2019
Gary Harris,24,DEN,12.2,2.6,-1.6,2019
Joe Harris,27,BRK,13.5,5.5,0.5,2019
Tobias Harris,26,LAC,18.2,5.0,2.4,2019
Tobias Harris,26,PHI,15.3,2.1,-0.1,2019
Andrew Harrison,24,MEM,4.6,0.0,-15.4,2019
Andrew Harrison,24,CLE,6.6,-0.1,-6.2,2019
Andrew Harrison,24,NOP,3.1,0.0,-9.2,2019
Josh Hart,23,LAL,9.3,2.1,-1.3,2019
Isaiah Hartenstein,20,HOU,10.0,0.5,-3.9,2019
Udonis Haslem,38,MIA,3.6,-0.1,-10.9,2019
Gordon Hayward,28,BOS,15.6,4.9,0.8,2019
John Henson,28,MIL,17.1,0.6,2.5,2019
Isaiah Hicks,24,NYK,17.4,0.1,0.1,2019
Buddy Hield,26,SAC,17.5,5.9,2.1,2019
Haywood Highsmith,22,PHI,4.5,0.0,-8.2,2019
George Hill,32,CLE,13.5,0.5,-2.0,2019
George Hill,32,MIL,11.6,2.3,-1.2,2019
Solomon Hill,27,NOP,6.8,0.5,-3.6,2019
Aaron Holiday,22,IND,11.9,0.9,-1.6,2019
Justin Holiday,29,CHI,11.0,1.3,-0.3,2019
Justin Holiday,29,MEM,8.9,0.8,-3.4,2019
John Holland,30,CLE,0.0,0.0,-5.0,2019
Richaun Holmes,25,PHO,20.7,4.3,0.6,2019
Rodney Hood,26,CLE,13.0,1.5,-2.1,2019
Rodney Hood,26,POR,10.9,1.1,-2.0,2019
Al Horford,32,BOS,20.2,7.5,5.1,2019
Danuel House,25,HOU,12.2,2.3,-0.5,2019
Dwight Howard,33,WAS,17.4,0.6,-3.0,2019
Kevin Huerter,20,ATL,10.1,1.5,-2.4,2019
Isaac Humphries,21,ATL,3.4,-0.1,-11.0,2019
Chandler Hutchison,22,CHI,8.8,0.6,-3.9,2019
Andre Iguodala,35,GSW,13.1,4.2,1.8,2019
Joe Ingles,31,UTA,13.4,6.0,1.4,2019
Kyrie Irving,26,BOS,24.3,9.1,7.2,2019
Jonathan Isaac,21,ORL,13.0,4.0,-0.4,2019
Wesley Iwundu,24,ORL,8.7,1.9,-3.2,2019
Demetrius Jackson,24,PHI,21.0,0.2,4.5,2019
Frank Jackson,20,NOP,9.4,0.4,-4.6,2019
Josh Jackson,21,PHO,10.6,-1.7,-4.6,2019
Reggie Jackson,28,DET,15.2,5.0,0.4,2019
LeBron James,34,LAL,25.6,7.2,8.0,2019
Amile Jefferson,25,ORL,21.1,0.4,2.5,2019
John Jenkins,27,WAS,20.5,0.1,6.6,2019
John Jenkins,27,NYK,9.3,0.2,-3.9,2019
Jonas Jerebko,31,GSW,13.5,3.3,-0.7,2019
Alize Johnson,22,IND,6.3,0.0,-7.7,2019
Amir Johnson,31,PHI,13.1,1.1,-2.3,2019
James Johnson,31,MIA,10.9,1.5,-1.2,2019
Stanley Johnson,22,DET,9.8,0.7,-1.6,2019
Stanley Johnson,22,NOP,8.9,-0.1,-4.5,2019
Tyler Johnson,26,MIA,12.3,1.8,-0.1,2019
Tyler Johnson,26,PHO,12.8,0.5,-1.0,2019
Damian Jones,23,GSW,15.3,1.5,1.1,2019
Terrence Jones,27,HOU,-15.8,-0.1,-31.1,2019
Tyus Jones,22,MIN,13.7,3.0,-0.6,2019
DeAndre Jordan,30,DAL,18.0,5.3,1.7,2019
DeAndre Jordan,30,NYK,22.1,1.9,3.4,2019
Cory Joseph,27,IND,11.0,3.5,-0.4,2019
Frank Kaminsky,25,CHO,16.8,1.8,0.3,2019
Luke Kennard,22,DET,11.9,2.5,-1.1,2019
Michael Kidd-Gilchrist,25,CHO,13.3,2.5,-2.4,2019
Maxi Kleber,27,DAL,13.1,3.5,0.4,2019
Brandon Knight,27,HOU,0.8,-0.3,-12.4,2019
Brandon Knight,27,CLE,10.5,0.2,-4.1,2019
Kevin Knox,19,NYK,8.7,-1.3,-5.7,2019
Furkan Korkmaz,21,PHI,11.5,1.1,-1.8,2019
Kyle Korver,37,CLE,11.3,0.2,-0.7,2019
Kyle Korver,37,UTA,11.2,2.0,-0.4,2019
Kosta Koufos,29,SAC,12.3,0.7,-3.4,2019
Rodions Kurucs,20,BRK,11.0,1.6,-2.6,2019
Kyle Kuzma,23,LAL,14.0,3.1,-1.4,2019
Zach LaVine,23,CHI,18.7,2.8,0.8,2019
Jake Layman,24,POR,13.5,3.1,-0.5,2019
T.J. Leaf,21,IND,16.9,1.6,-0.3,2019
Damion Lee,26,GSW,11.9,0.7,-2.2,2019
Alex Len,25,ATL,17.2,3.2,-1.2,2019
Kawhi Leonard,27,TOR,25.8,9.5,7.2,2019
Jon Leuer,29,DET,13.2,0.9,-2.5,2019
Caris LeVert,24,BRK,14.9,1.7,0.2,2019
Damian Lillard,28,POR,23.7,12.1,6.4,2019
Jeremy Lin,30,ATL,15.9,1.9,-0.6,2019
Jeremy Lin,30,TOR,8.2,0.2,-6.0,2019
Shaun Livingston,33,GSW,11.7,2.0,-1.0,2019
Zach Lofton,26,DET,-10.0,0.0,-11.5,2019
Kevon Looney,22,GSW,17.3,6.0,0.5,2019
Robin Lopez,30,CHI,15.9,2.7,-1.9,2019
Kevin Love,30,CLE,19.5,1.3,1.6,2019
Kyle Lowry,32,TOR,16.5,6.6,2.3,2019
Tyler Lydon,22,DEN,9.3,0.2,-4.2,2019
Trey Lyles,23,DEN,12.7,1.2,-2.4,2019
Scott Machado,28,LAL,22.2,0.1,5.5,2019
Shelvin Mack,28,MEM,11.0,1.1,-2.5,2019
Shelvin Mack,28,CHO,-6.6,-0.3,-17.9,2019
Daryl Macon,23,DAL,5.5,0.0,-7.9,2019
J.P. Macura,23,CHO,5.7,0.0,-7.7,2019
Ian Mahinmi,32,WAS,12.0,1.0,-3.0,2019
Thon Maker,21,MIL,12.9,1.1,0.0,2019
Thon Maker,21,DET,10.2,0.9,-2.1,2019
Lauri Markkanen,21,CHI,17.1,2.7,-0.2,2019
Jarell Martin,24,ORL,9.4,0.5,-3.9,2019
Wesley Matthews,32,DAL,11.3,1.8,-1.3,2019
Wesley Matthews,32,NYK,2.9,-0.1,-6.6,2019
Wesley Matthews,32,IND,9.2,1.0,-2.4,2019
Luc Mbah a Moute,32,LAC,6.7,0.0,-3.0,2019
Tahjere McCall,24,BRK,9.6,0.0,-6.6,2019
Patrick McCaw,23,CLE,-0.7,-0.2,-11.0,2019
Patrick McCaw,23,TOR,8.7,0.7,-1.7,2019
CJ McCollum,27,POR,17.0,5.6,1.0,2019
T.J. McConnell,26,PHI,13.4,2.9,-0.9,2019
Doug McDermott,27,IND,11.6,2.9,-1.4,2019
JaVale McGee,31,LAL,21.8,5.9,1.4,2019
Rodney McGruder,27,MIA,9.4,1.9,-2.3,2019
Alfonzo McKinnie,26,GSW,11.2,2.1,-3.5,2019
Ben McLemore,25,SAC,10.5,0.2,-3.5,2019
Jordan McRae,27,WAS,14.3,0.5,-1.7,2019
Jodie Meeks,31,TOR,16.0,0.3,0.5,2019
Salah Mejri,32,DAL,16.1,1.1,0.8,2019
De'Anthony Melton,20,PHO,9.9,0.0,-2.7,2019
Chimezie Metu,21,SAS,6.4,-0.3,-8.7,2019
Khris Middleton,27,MIL,16.5,6.1,0.8,2019
C.J. Miles,31,TOR,8.0,0.4,-3.6,2019
C.J. Miles,31,MEM,10.8,0.3,-1.5,2019
Darius Miller,28,NOP,8.4,1.6,-2.9,2019
Malcolm Miller,25,TOR,13.7,0.2,-0.5,2019
Patty Mills,30,SAS,13.2,3.5,-0.3,2019
Paul Millsap,33,DEN,17.9,6.1,1.7,2019
Shake Milton,22,PHI,9.3,0.3,-3.2,2019
Donovan Mitchell,22,UTA,17.2,5.0,1.3,2019
Naz Mitrou-Long,25,UTA,2.2,-0.1,-8.7,2019
Malik Monk,20,CHO,11.8,0.3,-3.0,2019
Greg Monroe,28,TOR,13.5,0.6,-5.0,2019
Greg Monroe,28,BOS,60.2,0.1,25.2,2019
Greg Monroe,28,PHI,31.7,0.4,8.2,2019
E'Twaun Moore,29,NOP,11.5,1.7,-2.3,2019
Eric Moreland,27,PHO,3.9,0.0,-6.1,2019
Eric Moreland,27,TOR,7.1,0.0,-4.5,2019
Marcus Morris,29,BOS,14.2,4.5,-0.9,2019
Markieff Morris,29,WAS,12.3,0.9,-2.7,2019
Markieff Morris,29,OKC,10.4,0.7,-2.8,2019
Monte Morris,23,DEN,16.2,6.2,1.5,2019
Emmanuel Mudiay,22,NYK,14.6,0.8,-2.0,2019
Jamal Murray,21,DEN,16.0,5.1,0.6,2019
Sviatoslav Mykhailiuk,21,LAL,5.8,-0.1,-5.2,2019
Sviatoslav Mykhailiuk,21,DET,9.8,0.0,-0.5,2019
Shabazz Napier,27,BRK,15.3,2.0,1.5,2019
Raul Neto,26,UTA,13.5,1.1,-0.3,2019
Georges Niang,25,UTA,13.0,1.3,0.0,2019
Joakim Noah,33,MEM,18.6,2.2,2.1,2019
Nerlens Noel,24,OKC,19.3,4.3,2.1,2019
Dirk Nowitzki,40,DAL,9.6,0.3,-3.9,2019
Frank Ntilikina,20,NYK,6.0,-0.8,-6.0,2019
David Nwaba,26,CLE,12.5,1.4,-2.1,2019
Royce O'Neale,25,UTA,9.0,3.3,-0.5,2019
Kyle O'Quinn,28,IND,16.8,1.0,0.4,2019
Jahlil Okafor,23,NOP,17.9,2.2,-1.5,2019
Elie Okobo,21,PHO,7.6,-0.5,-5.7,2019
Josh Okogie,20,MIN,9.4,1.2,-3.1,2019
Victor Oladipo,26,IND,17.6,2.3,2.9,2019
Kelly Olynyk,27,MIA,14.4,4.7,0.7,2019
Cedi Osman,23,CLE,11.5,1.5,-3.2,2019
Zaza Pachulia,34,DET,13.7,2.3,-1.2,2019
Jabari Parker,23,CHI,14.6,0.5,-2.1,2019
Jabari Parker,23,WAS,17.0,0.9,-0.6,2019
Tony Parker,36,CHO,15.3,0.9,-2.6,2019
Chandler Parsons,30,MEM,8.5,0.0,-4.4,2019
Patrick Patterson,29,OKC,8.1,1.1,-2.5,2019
Justin Patton,21,PHI,10.5,0.0,-2.0,2019
Chris Paul,33,HOU,19.7,6.6,3.9,2019
Cameron Payne,24,CHI,10.3,0.2,-3.8,2019
Cameron Payne,24,CLE,15.3,0.3,-0.7,2019
Elfrid Payton,24,NOP,14.0,1.5,-1.4,2019
Theo Pinson,23,BRK,8.1,0.0,-3.2,2019
Mason Plumlee,28,DEN,17.8,5.8,2.1,2019
Jakob Poeltl,23,SAS,19.4,5.1,2.0,2019
Quincy Pondexter,30,SAS,13.2,0.8,-0.9,2019
Bobby Portis,23,CHI,17.2,0.7,-1.9,2019
Bobby Portis,23,WAS,15.3,0.9,-2.8,2019
Dwight Powell,27,DAL,20.4,7.5,2.9,2019
Norman Powell,25,TOR,13.3,2.4,-0.7,2019
Zhou Qi,23,HOU,80.4,0.0,52.0,2019
Ivan Rabb,21,MEM,16.1,2.1,-1.4,2019
Chasson Randle,25,WAS,9.9,0.6,-4.0,2019
Davon Reed,23,IND,8.1,0.1,-5.5,2019
Cameron Reynolds,23,MIN,10.4,0.4,-2.5,2019
Josh Richardson,25,MIA,14.0,5.6,0.3,2019
Malachi Richardson,23,TOR,0.9,-0.1,-8.8,2019
Austin Rivers,26,WAS,6.8,-0.2,-5.3,2019
Austin Rivers,26,HOU,8.2,1.4,-3.8,2019
Devin Robinson,23,WAS,20.6,0.3,1.9,2019
Duncan Robinson,24,MIA,7.6,0.2,-3.4,2019
Jerome Robinson,21,LAC,7.2,0.1,-4.7,2019
Mitchell Robinson,20,NYK,22.0,6.1,2.5,2019
Rajon Rondo,32,LAL,12.1,1.3,-1.5,2019
Derrick Rose,30,MIN,19.5,3.0,1.4,2019
Ricky Rubio,28,UTA,14.0,3.7,-0.2,2019
D'Angelo Russell,22,BRK,19.4,5.0,3.4,2019
Domantas Sabonis,22,IND,21.9,7.6,3.1,2019
JaKarr Sampson,25,CHI,22.5,0.5,3.7,2019
Mike Scott,30,LAC,9.4,0.9,-1.5,2019
Mike Scott,30,PHI,7.7,0.7,-3.7,2019
Thabo Sefolosha,34,UTA,12.1,1.5,1.5,2019
Collin Sexton,20,CLE,12.0,-0.6,-4.7,2019
Landry Shamet,21,PHI,10.7,2.2,-1.9,2019
Landry Shamet,21,LAC,11.3,1.4,-1.2,2019
Iman Shumpert,28,SAC,10.1,1.2,-1.3,2019
Iman Shumpert,28,HOU,6.3,0.2,-3.7,2019
Pascal Siakam,24,TOR,18.7,9.3,2.4,2019
Ben Simmons,22,PHI,20.0,8.2,3.6,2019
Jonathon Simmons,29,ORL,7.4,-0.2,-5.2,2019
Jonathon Simmons,29,PHI,12.9,0.5,-0.8,2019
Anfernee Simons,19,POR,11.1,0.1,-5.3,2019
J.R. Smith,33,CLE,7.8,-0.2,-3.2,2019
Jason Smith,32,WAS,11.7,0.2,-3.4,2019
Jason Smith,32,MIL,6.3,0.0,-6.9,2019
Jason Smith,32,NOP,4.6,0.0,-8.8,2019
Zhaire Smith,19,PHI,9.5,0.1,-5.0,2019
Ray Spalding,21,DAL,0.0,0.0,-12.6,2019
Ray Spalding,21,PHO,14.7,0.2,-5.1,2019
Nik Stauskas,25,POR,10.8,0.8,-1.6,2019
Nik Stauskas,25,CLE,11.3,0.3,-2.5,2019
Lance Stephenson,28,LAL,11.8,1.1,-1.5,2019
Edmond Sumner,23,IND,7.6,0.1,-5.3,2019
Jayson Tatum,20,BOS,15.1,5.0,-0.2,2019
Jeff Teague,30,MIN,15.4,2.2,-0.4,2019
Emanuel Terry,22,PHO,19.9,0.1,2.3,2019
Emanuel Terry,22,MIA,18.4,0.0,2.1,2019
Daniel Theis,26,BOS,17.0,3.5,0.0,2019
Isaiah Thomas,29,DEN,7.0,-0.3,-6.5,2019
Khyri Thomas,22,DET,6.2,0.0,-5.0,2019
Lance Thomas,30,NYK,6.4,0.1,-5.7,2019
Klay Thompson,28,GSW,16.6,5.3,-0.3,2019
Tristan Thompson,27,CLE,18.4,2.6,-0.5,2019
Sindarius Thornwell,24,LAC,5.2,0.0,-4.7,2019
Anthony Tolliver,33,MIN,8.6,1.2,-2.4,2019
Karl-Anthony Towns,23,MIN,26.3,10.4,6.0,2019
Evan Turner,30,POR,11.6,2.0,-1.3,2019
Myles Turner,22,IND,18.0,6.3,2.5,2019
Ekpe Udoh,31,UTA,20.9,1.6,4.7,2019
Jarred Vanderbilt,19,DEN,12.4,0.1,-4.2,2019
Fred VanVleet,24,TOR,13.7,4.3,0.5,2019
Dwyane Wade,37,MIA,15.8,2.4,0.6,2019
Moritz Wagner,21,LAL,10.1,0.2,-4.3,2019
Dion Waiters,27,MIA,11.4,1.2,-1.1,2019
Kemba Walker,28,CHO,21.7,7.4,4.2,2019
Lonnie Walker,20,SAS,10.8,0.0,-2.4,2019
John Wall,28,WAS,18.0,1.2,0.9,2019
Brad Wanamaker,29,BOS,14.3,1.0,-0.7,2019
Thomas Welsh,22,DEN,16.1,0.1,1.2,2019
Russell Westbrook,30,OKC,21.1,6.8,5.2,2019
Derrick White,24,SAS,14.8,3.6,0.9,2019
Okaro White,26,WAS,-4.5,0.0,-16.8,2019
Hassan Whiteside,29,MIA,23.5,6.3,2.3,2019
Andrew Wiggins,23,MIN,12.4,0.6,-3.0,2019
Alan Williams,26,BRK,32.9,0.2,11.8,2019
Kenrich Williams,24,NOP,9.7,1.2,-1.9,2019
Lou Williams,32,LAC,21.2,5.1,2.2,2019
Robert Williams,21,BOS,18.8,1.2,1.8,2019
Troy Williams,24,SAC,10.5,0.4,-2.4,2019
D.J. Wilson,22,MIL,10.3,1.7,-2.2,2019
Justise Winslow,22,MIA,12.8,2.8,-0.6,2019
Christian Wood,23,MIL,17.1,0.2,-1.3,2019
Christian Wood,23,NOP,23.4,0.6,0.9,2019
Delon Wright,26,TOR,14.5,2.3,1.7,2019
Delon Wright,26,MEM,16.6,2.0,1.2,2019
Nick Young,33,DEN,2.3,0.0,-6.9,2019
Thaddeus Young,30,IND,16.2,6.9,1.5,2019
Trae Young,20,ATL,17.0,3.3,-0.6,2019
Cody Zeller,26,CHO,17.2,3.9,0.1,2019
Tyler Zeller,29,ATL,1.5,0.0,-10.2,2019
Tyler Zeller,29,MEM,19.4,0.3,-4.3,2019
Ivica Zubac,21,LAL,19.5,1.8,-0.2,2019
Ivica Zubac,21,LAC,18.3,1.4,-0.7,2019
Quincy Acy,27,BRK,8.2,1.0,-2.5,2018
Steven Adams,24,OKC,20.6,9.7,1.1,2018
Bam Adebayo,20,MIA,15.7,4.2,-0.4,2018
Cole Aldrich,29,MIN,6.0,0.0,-7.5,2018
LaMarcus Aldridge,32,SAS,25.0,10.9,3.9,2018
Jarrett Allen,19,BRK,17.5,4.2,-0.8,2018
Tony Allen,36,NOP,8.7,0.1,-5.5,2018
Al-Farouq Aminu,27,POR,12.0,4.2,0.4,2018
