name,country,gender,birth_year
Hans Heinrich Bürmann,,male,
Eduard Prugovečki,United States of America,male,1937
Karl Stein (mathematician),Germany,male,1913
Catherine Doléans-Dade,,female,1942
Lorna Swain,,female,1891
Franc Breckerfeld,,male,1681
Jean le Rond dAlembert,France,male,1717
Howard Eves,United States of America,male,1911
Des MacHale,Ireland,male,1946
Heinz Hopf,"Germany, Switzerland",male,1894
Aristotle,,male,-383
Julian Keilson,United States of America,male,1924
Linda Preiss Rothschild,United States of America,female,1945
Blaise Pascal,Kingdom of France,male,1623
Ivan Petrovsky,"Russian Empire, Soviet Union",male,1901
Alexander von Brill,Germany,male,1842
Lee Sallows,,male,1944
Basil Gordon,United States of America,male,1931
Daniel Tătaru,Romania,male,1967
Thomas Hakon Grönwall,Sweden,male,1877
Rabbi Nehemiah,,male,100
Constantin Coandă,Romania,male,1857
Hans Sommer (composer),Germany,male,1837
José Echegaray,Spain,male,1832
Nathan Salmon,United States of America,male,1951
Cyrus Colton MacDuffee,United States of America,male,1895
Shafi Goldwasser,"United States of America, Israel",female,1958
Jurij Vega,,male,1754
Menelaus of Alexandria,,male,70
Willem Abraham Wythoff,Kingdom of the Netherlands,male,1865
George Seligman,United States of America,male,1927
Chia-Chiao Lin,United States of America,male,1916
Barbara M. Brizuela,,female,
Rob Eastaway,,male,
Alfred W. Hales,United States of America,male,1938
Wilhelm Cauer,Germany,male,1900
William J. Cook,United States of America,male,1957
Jacques Hadamard,France,male,1865
Carl Charlier,Sweden,male,1862
Nguyễn Ngọc Bình,Vietnam,male,1959
Paul Glaister,,male,
Granville Sewell,United States of America,male,
William W. Tait,United States of America,male,1929
Thomas Lengauer,Germany,male,1952
Abiyun al-Bitriq,,male,
James Wiegold,,male,1934
John Robertson (mathematician),,male,
Manuel Kauers,Germany,male,1979
Raymond Ogden,United Kingdom,male,1943
Jessie MacWilliams,United Kingdom,female,1917
Leone Burton,,female,1936
David Vogan,United States of America,male,1954
Vladimir Arnold,"Soviet Union, Russia",male,1937
Felix Gantmacher,"Russian Empire, Soviet Union",male,1908
Georges Reeb,France,male,1920
Caleb Gattegno,Egypt,male,1911
Brian Ford (numerical analyst),,male,
Yudell Luke,United States of America,male,1918
Gregory Eskin,Soviet Union,male,1936
Paul Schatz,Germany,male,1898
Reuben Hersh,United States of America,male,1927
Marinus of Neapolis,,male,440
Marie Anne Victoire Pigeon,France,female,1724
A. O. L. Atkin,United Kingdom,male,1925
Robert Franklin Muirhead,United Kingdom,male,1860
Arthur Jolliffe,,male,1871
Earl D. Rainville,United States of America,male,1907
Alister Watson,,male,1908
Johann Makowsky,,male,1948
"Elliott Ward Cheney, Jr.",United States of America,male,1929
André Bloch (mathematician),France,male,1893
Dan Laksov,Norway,male,1940
John Kells Ingram,Ireland,male,1823
Menachem Magidor,Israel,male,1946
Galileo Galilei,"Duchy of Florence, 1564, 1569, Grand Duchy of Tuscany, 1569, 1642",male,1564
Thomas Fincke,Germany,male,1561
Raman Parimala,India,female,1948
Alan Frieze,United Kingdom,male,1945
Albert-László Barabási,Hungary,male,1967
Vladimir Tretyakov,Russia,male,1936
Alain A. Lewis,United States of America,male,1947
K. Mani Chandy,United States of America,male,1944
Stephanie van Willigenburg,,female,
Arnaud Chéritat,France,male,1975
Eric Schechter,United States of America,male,1950
Alex Chigogidze,Georgia,male,1955
Robert Kozma,United States of America,male,
Jon Speelman,United Kingdom,male,1956
David Evans (mathematician and engineer),Australia,male,
László Pyber,Hungary,male,1960
Matthew Cook,United States of America,male,1970
Jon Lee (mathematician),United States of America,male,1960
Jonathan Mestel,United Kingdom,male,1957
David A. Klarner,,male,1940
Giuseppe Santini,,male,1735
Pierre Berthelot,France,male,1943
Richard S. Varga,United States of America,male,1928
Wolfgang Smith,United States of America,male,1930
John Maclean Jr.,United States of America,male,1800
Carlos Lousto,,male,
Artur Oscar Lopes,Brazil,male,1950
Aravind Joshi,"United States of America, India",male,1929
Alain Chenciner,France,male,1943
Hermann of Reichenau,Germany,male,1013
Hans Schwerdtfeger,"Canada, Germany, Australia",male,1902
Cesare Arzelà,Kingdom of Italy,male,1847
Piotr Smoleński,,male,
Ernest Vessiot,France,male,1865
Christian of Prachatice,Czech Republic,male,1368
Viktoras Biržiška,,male,1886
Pelageya Polubarinova-Kochina,"Soviet Union, Russia",female,1899
Daniel Friedrich Hecht,,male,1777
Robert Bryant (mathematician),United States of America,male,1953
Eugenio Giuseppe Togliatti,Italy,male,1890
Grzegorz Rempala,,male,
Dmitrii Menshov,"Russian Empire, Soviet Union",male,1892
John Challifour,,male,1938
Michael Segal,Israel,male,1972
Charles Wells (mathematician),United States of America,male,1937
Aleksandr Kotelnikov,"Soviet Union, Russian Empire",male,1865
Lloyd Demetrius,United States of America,male,
Chris Rogers (mathematician),New Zealand,male,1954
Maurice A. de Gosson,Austria,male,1948
Claude Mydorge,France,male,1585
Paul Meier (statistician),United States of America,male,1924
Dorothy Maharam,United States of America,female,1917
Edward Lindsay Ince,United Kingdom,male,1891
Vazif Meylanov,"Soviet Union, Russia",male,1940
Debabrata Basu,India,male,1924
Emmanuel Carvallo,France,male,1856
William Minicozzi II,United States of America,male,1967
Paul von Janko,Turkey,male,1856
Trevor West,Ireland,male,1938
William J. Youden,United States of America,male,1900
Theon of Alexandria,,male,335
Andrea Argoli,,male,1570
Charles S. Peskin,United States of America,male,1946
Revaz Gamkrelidze,"Soviet Union, Russia",male,1927
Alexander Aigner,Austria,male,1909
David A. Huffman,United States of America,male,1925
J. R. Hendricks,,male,1929
Ralph Duncan James,Canada,male,1909
Agnes Sime Baxter,Canada,female,1870
Georges Hostelet,Belgium,male,1875
Richard Beals (mathematician),United States of America,male,1938
Alan Huckleberry,United States of America,male,1941
Stephen Stigler,United States of America,male,1941
Lorentz Eichstadt,Germany,male,1596
Frances Cave-Browne-Cave,,female,1876
Giovanni Alfonso Borelli,Kingdom of Naples,male,1608
Robert V. Kohn,United States of America,male,1953
Paul Lévy (mathematician),France,male,1886
Sara Billey,United States of America,female,1968
Apollonius of Perga,,male,-262
Itai Benjamini,,male,
Marion Cameron Gray,,female,1902
Thomas MacFarland Cherry,Australia,male,1898
Lawrence Shepp,United States of America,male,1936
Bryan Creed Jack,,male,
Václav Chvátal,Canada,male,1946
John E. Dennis,United States of America,male,1939
Alexandre Eremenko,United States of America,male,1954
Friedrich Hirzebruch,Germany,male,1927
Qaiser Mushtaq,,male,1954
Frank Yates,England,male,1902
Adolph Göpel,Germany,male,1812
Moon Duchin,,female,
Anatoliy Skorokhod,Ukraine,male,1930
Carl B. Allendoerfer,United States of America,male,1911
Barry Edward Johnson,,male,1937
W. R. (Red) Alford,United States of America,male,1937
Hervé Le Bras,France,male,1943
Miles Reid,United Kingdom,male,1948
Xiong Qinglai,,male,1893
Thomas Exley,,male,1775
László Fuchs,United States of America,male,1924
Adam Lintz,,male,1635
Olabisi Ugbebor,,female,
Hermann Minkowski,Germany,male,1864
Isaac Malitz,United States of America,male,1947
Peter Hislop,,male,
Glen Bredon,United States of America,male,1932
Nigel Kalton,United States of America,male,1946
Geoffrey Colin Shephard,,male,
John Henry Pratt,United Kingdom,male,1809
Andrew M. Stuart,United Kingdom,male,1962
Edmond Bonan,France,male,1937
Zhan Tao,,male,1963
Ibn Hamza al-Maghribi,,male,
Stanisław Ruziewicz,Poland,male,1889
C. Olin Ball,United States of America,male,1893
Simon Gindikin,Soviet Union,male,1937
Henry William Durant,,male,1902
Matthias Bernegger,Germany,male,1582
Antoni Malet,Spain,male,1950
Aaron Pixton,United States of America,male,1986
James Glenie,Canada,male,1750
Oleg Tozoni,,male,1927
Richard Brent (scientist),Australia,male,1946
Frank William Land,,male,1911
Geminus,,male,
Kevin Buzzard,United Kingdom,male,1968
Vera Nikolaevna Maslennikova,,female,1926
Johann Jacob Zimmermann,Germany,male,1644
Richard Jozsa,Australia,male,1954
Jan Mikusiński,Poland,male,1913
Peter Bouwknegt,Kingdom of the Netherlands,male,1961
Jean-Charles de Borda,France,male,1733
Peter Gutmann (computer scientist),New Zealand,male,
Edwin Hewitt,United States of America,male,1920
Paul Monsky,United States of America,male,1936
Chris Holmes (mathematician),,male,
Renzo L. Ricca,,male,1960
Robert König,Austria,male,1885
Bruce Reed (mathematician),Canada,male,1962
Nina Snaith,United Kingdom,female,1974
Jan Camiel Willems,Belgium,male,1939
Stafford Tavares,Canada,male,1940
Alan C. Newell,United States of America,male,1941
Olle Häggström,Sweden,male,1967
De Witt Sumners,,male,
Pierre de Carcavi,France,male,1600s
Jacques Hurtubise (mathematician),Canada,male,1957
Svetlana Gannushkina,"Soviet Union, Russia",female,1942
Shu Shien-Siu,,male,1912
Johann Rahn,Switzerland,male,1622
Daniel I. A. Cohen,,male,1946
Joseph C. G. Kennedy,United States of America,male,1813
Vladimir Gennadievich Sprindzuk,Soviet Union,male,1936
Paul Lorenzen,Germany,male,1915
Harry Pollard (mathematician),United States of America,male,1919
Fritz John,United States of America,male,1910
Natashia Boland,,female,
Dimitri Bertsekas,,male,1942
David Gans,,male,1541
Jürgen Moser,"Germany, United States of America, Switzerland",male,1928
David E. Evans,United Kingdom,male,
Kenkichi Iwasawa,Japan,male,1917
Teofilo Bruni,,male,1569
Robin Wilson (mathematician),United Kingdom,male,1943
Michael Katehakis,United States of America,male,1952
Giuseppe Colombo,Italy,male,1920
Robion Kirby,United States of America,male,1938
Alexis-Jean-Pierre Paucton,France,male,1732
Ivar Stakgold,United States of America,male,
Juan Ramón Koenig,Peru,male,1623
Mario Laserna Pinzón,"France, Colombia",male,1923
András Prékopa,Hungary,male,1929
Israel Nathan Herstein,United States of America,male,1923
Hendrik van Heuraet,Netherlands,male,1634
David van Dantzig,Kingdom of the Netherlands,male,1900
Hermann Rothe,Austria,male,1882
Olivier Ramaré,France,male,
Alfredo Andreini,Kingdom of Italy,male,1870
Svetlana Katok,"United States of America, Soviet Union",female,1947
Ralph Gordon Stanton,Canada,male,1923
Caucher Birkar,Iran,male,
Yaʿqūb ibn Ṭāriq,Abbasid Caliphate,male,700
Herbert Busemann,"German Empire, Weimar Republic, United States of America",male,1905
Jacob Leupold,Germany,male,1674
Nilüfer Çınar Çorlulu,Turkey,female,1962
Meinhard E. Mayer,"Romania, United States of America",male,1929
Hans Georg Bock,Germany,male,1948
Philip Wolfe (mathematician),United States of America,male,1927
Max Noether,Germany,male,1844
Charles Étienne Louis Camus,France,male,1699
Paul Painlevé,France,male,1863
Francesco Gerbaldi,Kingdom of Italy,male,1858
Ernst S. Selmer,Norway,male,1920
Harry Bateman,"United Kingdom, United States of America",male,1882
Robert Giffen,United Kingdom,male,1837
Helmut Wielandt,Germany,male,1910
Dunham Jackson,United States of America,male,1888
Ernst Schröder,Germany,male,1841
Charles Roy Henderson,United States of America,male,1911
Carl David Tolmé Runge,Germany,male,1856
Bernt Wahl,United States of America,male,
Jens Kraft,Norway,male,1720
Hypatia,Roman Empire,"female, Italian Wikipedia",370
Paul A. Catlin,United States of America,male,1948
Francisco Javier González-Acuña,Mexico,male,
Carlo Emilio Bonferroni,Italy,male,1892
Amédée Mannheim,France,male,1831
Taira Honda,Japan,male,1932
Karl-Theodor Sturm,,male,1960
F. Burton Jones,United States of America,male,1910
Aurel Wintner,United States of America,male,1903
Richard Taylor (mathematician),United Kingdom,male,1962
Karen Vogtmann,United States of America,female,1949
R. P. Paranjpe,India,male,1876
Gilles Châtelet,France,male,1944
Benjamin Banneker,United States of America,male,1731
Charles Spearman,United Kingdom,male,1863
Hossein Zakeri,Iran,male,1942
Thomas William Edmondson,United States of America,male,1869
Jan Sładkowski,Poland,male,1958
Sind ibn Ali,Abbasid Caliphate,male,
Johannes Hjelmslev,Denmark,male,1873
Suzan Rose Benedict,United States of America,female,1873
Adolf Ferdinand Wenceslaus Brix,Germany,male,1798
Loring W. Tu,,male,1952
Édouard Le Roy,France,male,1870
Alan M. Frieze,United Kingdom,male,1945
János Apáczai Csere,,male,1625
James Hume (mathematician),France,male,1584
Sridhara,,male,870
Alexandru Dimca,Romania,male,
Stefano degli Angeli,,male,1623
Neil R. Grabois,,male,1935
Hector Munro Macdonald,United Kingdom,male,1865
Sergei Vostokov,Russia,male,1945
Gertrude Mary Cox,United States of America,female,1900
Martin Gardner,United States of America,male,1914
Hans Zassenhaus,Germany,male,1912
J. Hyam Rubinstein,Australia,male,1948
Michel Lazard,France,male,1924
Nikolay Mitrofanovich Krylov,"Russian Empire, Soviet Union",male,1879
Jim Mauldon,,male,1920
Grace Andrews (mathematician),United States of America,female,1869
Simplicius of Cilicia,Byzantine Empire,male,490
Don Berry (statistician),United States of America,male,1927
Sinān ibn al-Fatḥ,,male,
Mir Masoom Ali,United States of America,male,1937
Valentine Bargmann,United States of America,male,1908
Armin B. Cremers,Germany,male,1946
Erhan Çinlar,United States of America,male,1941
Beatrice Mabel Cave-Browne-Cave,United Kingdom,female,1874
Jacob Cohen (statistician),United States of America,male,1923
Sabri Ergun,Turkey,male,1918
M. C. Chakrabarti,,male,
Federico Commandino,Duchy of Urbino,male,1509
Donald Burkholder,United States of America,male,1927
Guðbrandur Þorláksson,Iceland,male,1541
Antoine Parent,France,male,1666
Ge Jun,"""Peoples Republic of China""",male,1964
Mikhail Katz,Israel,male,1958
Tibor Radó,"Hungary, United States of America",male,1895
Veniamin Kagan,"Russian Empire, Soviet Union",male,1869
Petr Hájek,,male,1940
Leonard James Rogers,United Kingdom,male,1862
John Greaves,United Kingdom,male,1602
Zdeněk Frolík,Czech Republic,male,1933
James Inman,,male,1776
Dragan Marušič,Slovenia,male,1953
Arthur Rubin,United States of America,male,1956
Frank Deutsch,United States of America,male,1936
Leonardo Torres y Quevedo,Spain,male,1852
Pascal Auscher,,male,1963
Detlef Gromoll,Germany,male,1938
Jacques de Billy,France,male,1602
Ellen Hayes,United States of America,female,1851
Bhāskara II,India,male,1114
Abraham bar Hiyya,Spain,male,1070
Meton of Athens,Classical Athens,male,400
Yang Zhuoxin,"""Peoples Republic of China""",male,1890
Tamer Başar,Turkey,male,1946
Chauncey Wright,United States of America,male,1830
John Wingate Thornton,United States of America,male,1818
Gabriel Bernardino,Portugal,male,1964
Rudolf Gorenflo,Germany,male,1930
Roger Jones (mathematician),United States of America,male,
Julia Kempe,Germany,female,
Cameron Gordon (mathematician),United Kingdom,male,1945
Václav Benda,Czech Republic,male,1946
Yury Yershov,"Soviet Union, Russia",male,1940
Adelard of Bath,Kingdom of England,male,1080
Mohammad-Ali Najafi,Iran,male,1952
Louis J. Gross,United States of America,male,1952
Cornelius Lanczos,"Hungary, United States of America, Ireland",male,1893
David Arnold (mathematician),,male,
Carl Johan Malmsten,Sweden,male,1814
Sergei Tabachnikov,Russia,male,1956
James W. Cannon,United States of America,male,1943
William Bedwell,,male,1561
"J. Arthur Seebach, Jr.",United States of America,male,1938
Toru Kumon,Japan,male,1914
Joshua King,United Kingdom,male,1798
Andrzej Alexiewicz,Poland,male,1917
Gabriel Mouton,Kingdom of France,male,1618
Michel Plancherel,Switzerland,male,1885
Hubert Lilliefors,United States of America,male,1928
Eric Harold Neville,United Kingdom,male,1889
Franz Woepcke,Germany,male,1826
Peter Roquette,Germany,male,1927
Michel Raynaud,France,male,1938
Cheryl Praeger,Australia,female,1948
Stanisław Grzepski,,male,1524
Fabien Morel,France,male,1965
Henry Gellibrand,United Kingdom,male,1597
Ramon Picarte Mujica,,male,1830
Gisbert Wüstholz,Germany,male,1948
Nikolai Chernov,,male,
René Taton,France,male,1915
Neil Trudinger,Australia,male,1942
Adhémar Jean Claude Barré de Saint-Venant,France,male,1797
Elizabeth S. Allman,United States of America,female,
Catherine A. Roberts,,female,
Karl Johann Kiessling,Germany,male,1839
Steve Hofmann,United States of America,male,1958
Traian Lalescu,Romania,male,1882
Gregg Zuckerman,United States of America,male,1949
Fritz Noether,Germany,male,1884
Francesco Stelluti,,male,1577
Minerva Cordero,,female,
Pietro Mengoli,,male,1626
Georg Rasch,Denmark,male,1901
Choi Seok-jeong,,male,
Hilary Shuard,,female,1928
Stanislaw Ulam,"United States of America, Poland",male,1909
Edward Routh,United Kingdom,male,1831
Lily Serna,Australia,female,1986
Weiqing Gu,,female,
Gérard Vergnaud,,male,1933
Raimo Hämäläinen,Finland,male,1948
Donald A. Dawson,Canada,male,1937
John Christopher Sturmius,,male,
Semën Samsonovich Kutateladze,Soviet Union,male,1945
Qiang Du,United States of America,male,
B. V. Shah,India,male,1935
Henry J. Kelley,,male,1926
Thomas Fantet de Lagny,France,male,1660
Donald Solitar,United States of America,male,1932
John of Tynemouth (geometer),Kingdom of England,male,
Nancy Salisbury,United States of America,female,1930
Yurii Mitropolskiy,"Soviet Union, Ukraine",male,1917
William Feller,United States of America,male,1906
Nikoloz Muskhelishvili,"Russian Empire, Transcaucasian Democratic Federative Republic, Democratic Republic of Georgia, Soviet Union",male,1891
Bálint Tóth,Hungary,male,1955
Carolyn Mahoney,,female,1946
Robert Schlaifer,United States of America,male,1914
Uzi Vishne,Israel,male,
David Jerison,United States of America,male,
Regiomontanus,Germany,male,1436
Mark Geiger,United States of America,male,1974
Ádám Korányi,,male,1932
Mary Celine Fasenmyer,United States of America,female,1906
Kevin Houston (mathematician),,male,
Hillel Furstenberg,Israel,male,1935
François Arago,France,male,1786
Gordon Welchman,"United Kingdom, United States of America",male,1906
Johannes van der Corput,Kingdom of the Netherlands,male,1890
Helen M. Walker,United States of America,female,1891
Johan Galtung,Norway,male,1930
Paul Weiss (mathematician),,male,1911
Norair Arakelian,"Soviet Union, Armenia",male,1936
Diane Souvaine,United States of America,female,
Ronald G. Douglas,United States of America,male,1938
Karl-Georg Niebergall,,male,1961
Berrien Moore III,United States of America,male,
Huguette Delavault,France,female,1924
William Jack (mathematician),,male,1834
Bjarni Jónsson,Iceland,male,1920
Sergio Fajardo,Colombia,male,1956
Jean-Christophe Yoccoz,France,male,1957
Jan Hemelrijk,Kingdom of the Netherlands,male,1918
Ciprian Foias,Romania,male,1933
Gerald Folland,United States of America,male,1947
Louis Bachelier,France,male,1870
Immanuel Bonfils,,male,1300
Wilhelm Winkler,Austria,male,1884
Lawrence C. Washington,United States of America,male,1951
Roger Horn,,male,
Geoff Bascand,New Zealand,male,
Budhayan,India,male,800
Bernardino Baldi,,male,1553
Graeme Milton,,male,
Peter Štefan,Slovakia,male,1941
Ernest Corominas,"Spain, France",male,1913
Muhammad ibn Mahmud Amuli,Iran,male,1300
Jean-Pierre Serre,France,male,1926
József Beck,Hungary,male,1952
Timothy Gowers,United Kingdom,male,1963
John W. Sullivan,Canada,male,
Evan Siegel,United States of America,male,1954
Leonid Pastur,Ukraine,male,1937
Robert Breusch,United States of America,male,1907
Vitello,Poland,male,1230
Tetsuji Shioda,Japan,male,1940
Michael Waterman,United States of America,male,1942
Phyllis Chinn,United States of America,female,
Jan Jaworowski,United States of America,male,1928
Panayotis G. Kevrekidis,,male,
Steve Brooks (statistician),,male,1970
Zoghman Mebkhout,"Algeria, France",male,1949
E. M. Wright,United Kingdom,male,1906
Michael T. Goodrich,United States of America,male,
Andrew Casson,United Kingdom,male,1943
Vyacheslav Ivanovich Lebedev,"Soviet Union, Russia",male,1930
Moshe Jarden,Israel,male,1942
Theodor Vahlen,Austria,male,1869
James D. Murray,United Kingdom,male,1931
David X. Li,,male,
René Gâteaux,France,male,1889
Guofang Wei,United States of America,female,1965
Franciszek Leja,Poland,male,1885
Théodore Cornut,France,male,
George Handley Knibbs,Australia,male,1858
Derek Corneil,Canada,male,1942
Edwin Bailey Elliott,,male,1851
Gholamhossein Mosaheb,Iran,male,1910
Boyan Petkanchin,Bulgaria,male,1907
Mammad Yaqubov,,male,1941
Achille Pierre Dionis du Séjour,France,male,1734
Howard Levi,United States of America,male,1916
M. Ram Murty,Canada,male,1953
Lawrence Rooke,United Kingdom,male,1620
Gury Kolosov,Soviet Union,male,1867
Alexander Dranishnikov,,male,
"Thomas Malton, the elder",Kingdom of Great Britain,male,1726
Giacomo Venturoli,,male,
Jan Karel Lenstra,Kingdom of the Netherlands,male,1947
William McCrea (astronomer),"Ireland, United Kingdom",male,1904
Stanley Tennenbaum,United States of America,male,1927
Heinrich Franz Friedrich Tietze,Austria,male,1880
Robert Anderson (mathematician),Kingdom of England,male,
Henry Thomas Colebrooke,United Kingdom,male,1765
Colin Maclaurin,"Kingdom of Scotland, Kingdom of Great Britain",male,1698
Tom Bohman,,male,
Alfred Brauer,"Germany, United States of America",male,1894
Alexander Bukalov,,male,1962
Hans-Joachim Bremermann,"Germany, United States of America",male,1926
Gösta Mittag-Leffler,Sweden,male,1846
Donald Kingsbury,Canada,male,1929
Vance Faber,United States of America,male,1944
Dietrich Braess,Germany,male,1938
Pierre François Verhulst,Belgium,male,1804
Robert McEliece,United States of America,male,1942
W. V. D. Hodge,United Kingdom,male,1903
Seppo Linnainmaa,,male,1945
Thomas Zink,Germany,male,1949
Alexander Buchstab,,male,1905
James Gregory (mathematician),Kingdom of Scotland,male,1638
Mark Vishik,"Soviet Union, Russia",male,1921
Lawrence Paul Horwitz,United States of America,male,1930
Philippe Di Francesco,,,
Valentin Danilovich Belousov,Soviet Union,male,1925
James Hopwood Jeans,United Kingdom,male,1877
Satyendra Nath Bose,India,male,1894
Albrecht Fröhlich,United Kingdom,male,1916
Carl Fabian Björling,Sweden,male,1839
Dmitri Anosov,"Soviet Union, Russia",male,1936
Ákos Császár,Hungary,male,1924
Leon Ehrenpreis,United States of America,male,1930
Mojżesz Presburger,Poland,male,1904
Anna-Karin Tornberg,Sweden,female,1971
Clement John Tranter,United Kingdom,male,1909
K. C. Sreedharan Pillai,United States of America,male,1920
Hasan bey Zardabi,Azerbaijan,male,1837
Anatoly Fomenko,"Soviet Union, Russia",male,1945
Walter Schnee,Germany,male,1885
Rajesh Kasturirangan,,male,
Pavel Tichý,New Zealand,male,1936
Xavier Fernique,,male,
Daniel Dod,United States of America,male,1788
Ronald Jensen,United States of America,male,1936
Abraham Fletcher,,male,1714
Dragoslav Mitrinović,Serbia,male,1908
Jerome H. Friedman,United States of America,male,1939
Sinan ibn Thabit,,male,880
William Bigelow Easton,United States of America,male,1900
William Messing,United States of America,male,1900
Robert S. Doran,United States of America,male,1937
Omar Khayyam,Great Seljuq Empire,male,1048
Robert Everist Greene,,male,
Sigeru Mizohata,Japan,male,1924
William Crabtree,England,male,1610
Harald Bohr,Denmark,male,1887
Avi Wigderson,Israel,male,1956
Ken Ritchie,,male,1946
Raj Chandra Bose,India,male,1901
Georg Nöbeling,Germany,male,1907
Kathryn Hess,,female,
Alexei Skorobogatov,Russia,male,1961
Joan Ferrini-Mundy,,female,
Gustav von Escherich,Austria,male,1849
Geoff Smith (mathematician),United Kingdom,male,1953
Fern Hunt,United States of America,female,1948
John Coleman Moore,United States of America,male,1923
Willem de Sitter,Greece,male,1872
Valerii Denisovich Goppa,Soviet Union,male,1939
Ismaël Bullialdus,France,male,1605
Josip Globevnik,Slovenia,male,1945
Maria Pastori,Italy,female,1895
William Wales (astronomer),United Kingdom,male,1734
Roger Temam,France,male,1940
Subhash Suri,United States of America,male,1960
Michele Bruniges,Australia,female,
Ellice Horsburgh,,male,1870
Władysław Zajączkowski,,male,1837
Arnold Dresden,Kingdom of the Netherlands,male,1882
Alexander Barvinok,,male,
Laure Saint-Raymond,France,female,1975
James Gow (scholar),United Kingdom,male,1854
Olli Lehto,Finland,male,1925
Norman Levitt,United States of America,male,1943
François Thureau-Dangin,France,male,1872
Aristarchus of Samos,,male,-310s
Hilary Priestley,,female,
William Davidson Niven,,male,1842
Elizabeth Fennema,,female,1928
Valery Alexeev (mathematician),,,
Christopher Hacon,United Kingdom,male,1970
Mikhail Leonidovich Gromov,"Soviet Union, France, 1992",male,1943
Charles Radin,United States of America,male,1945
Vilna Gaon,"Grand Duchy of Lithuania, Russian Empire",male,1720
Dale Husemoller,United States of America,male,1933
Alfred Kneschke,Germany,male,1902
Rajeev Motwani,India,male,1962
Oliver Byrne (mathematician),Ireland,male,1810
Kengo Hirachi,,male,1964
Campanus of Novara,,male,1210
Jim Propp,United States of America,male,
Bruno Courcelle,,male,
Bert Broer,Kingdom of the Netherlands,male,1916
István Juhász (mathematician),Hungary,male,1943
Howell Peregrine,United Kingdom,male,1938
William Yslas Vélez,,male,
Joel Hass,United States of America,male,
Lawrence Ball,United Kingdom,male,1951
Richard S. Hamilton,United States of America,male,1943
Thomas Little Heath,United Kingdom,male,1861
V. Lakshmibai,,female,
Marjorie Lee Browne,United States of America,female,1914
Anatoly Samoilenko,Soviet Union,male,1938
Mary G. Ross,United States of America,female,1908
Tadao Oda,Japan,male,1940
Vikram Bhagvandas Mehta,,male,1946
Nicholas Varopoulos,,male,1940
Zhu Miaolong,,male,1942
Peter Sarnak,United States of America,male,1953
Stephen Alexander (astronomer),United States of America,male,1806
Sámuel Mikoviny,Hungary,male,1700
Gwilym Jenkins,United Kingdom,male,1932
Pierre Raymond de Montmort,France,male,1678
Monika Ludwig,Austria,female,1966
Joseph G. McKenna,,male,1922
Petrus Ramus,France,male,1515
Alex Grossmann,France,male,1930
Jacob Tsimerman,,male,1988
Gil Kalai,Israel,male,1955
Daqing Wan,"""Peoples Republic of China""",male,1964
Banesh Hoffmann,United Kingdom,male,1906
Péter Komjáth,Hungary,male,1953
Timofei Fedorovic Osipovsky,Russian Empire,male,1766
Ludmila Peterson,"Soviet Union, Russia",female,1950
Joseph Ser,France,male,1875
Akif Jafar Hajiyev,"Soviet Union, Azerbaijan",male,1937
Rollo Davidson,,male,1944
Leslie Lamport,United States of America,male,1941
Monroe D. Donsker,United States of America,male,1924
Thomas Pereira,Portugal,male,1645
Geneviève Guitel,France,female,1895
Peter Henrici (mathematician),"United States of America, Switzerland",male,1923
Democritus,,male,-460
Mara Neusel,United States of America,female,1964
Guglielmo Gargiolli,,male,1601
Enrique Zuazua,Spain,male,1961
Lia Bronsard,,female,
Derek W. Moore,United Kingdom,male,1931
Robert Hamilton (economist),,male,1743
Tomasz Łuczak,Poland,male,1963
Edwin Thompson Jaynes,United States of America,male,1922
Daniel Rider,,male,
Wally Smith (mathematician),United States of America,male,1926
Paul Rabinowitz,United States of America,male,1939
Julian Hails,United Kingdom,male,1967
Erling Størmer,Norway,male,1937
Jonathan Keating,United Kingdom,male,1963
Noam Elkies,United States of America,male,1966
George Blakley,United States of America,male,
Ashot Petrosian,"Soviet Union, Armenia",male,1930
Amnon Yekutieli,Israel,male,1959
Michael Golomb,United States of America,male,1909
Bruce Harding,,male,
František Josef Studnička,Czech Republic,male,1836
Cornelis Simon Meijer,Kingdom of the Netherlands,male,1904
Arthur P. Dempster,United States of America,male,1929
Vincent Moncrief,United States of America,male,
David Glass (sociologist),United Kingdom,male,1911
Mieczysław Warmus,Poland,male,1918
Stanley Skewes,South Africa,male,1899
Otto Schmidt,"Russian Empire, 1917, Russian Republic, 1917, Russian Soviet Federative Socialist Republic, 1917, 1922, Soviet Union, 1922",male,1891
Claude LeBrun,United States of America,male,1956
John C. Oxtoby,United States of America,male,1910
Julius König,Hungary,male,1849
John Alan Robinson,"United Kingdom, United States of America",male,1930
Dominique Perrin,,male,1946
Marty Golubitsky,United States of America,male,1945
Nancy Reid,Canada,female,1952
George Robin Henderson,,male,1941
Panagiota Daskalopoulos,"Greece, United States of America",female,
Stepan Rumovsky,Russian Empire,male,1734
Mark Ronan,United States of America,male,1947
Olof Hanner,Sweden,male,1922
Samuel Kotz,United States of America,male,1930
Mike Keith (mathematician),United States of America,male,1955
Leonard Schulman,United States of America,male,
Avner Ash,,male,
Alan Tucker,United States of America,male,
Henry Laufer,United States of America,male,1945
Hideo Shimizu,,male,
Marston Conder,New Zealand,male,1955
James Goodnight,United States of America,male,1943
Félix Alcan,France,male,1841
John Nunn,United Kingdom,male,1955
