name,country,gender,birth_year
Marcus Jordanus,Germany,male,1531
Sibe Mardešić,Croatia,male,1927
John Hinch (mathematician),United Kingdom,male,1947
Charles Graves (bishop),,male,1812
Isaak Moiseevich Milin,Soviet Union,male,1919
Bassano Politi,,male,
Lars Svenonius,,male,1927
Georg Simon Klügel,Confederation of the Rhine,male,1739
DArcy Wentworth Thompson,United Kingdom,male,1860
Tadeusz Ważewski,Poland,male,1896
Lester R. Ford,United States of America,male,1886
Joseph Furttenbach,Germany,male,1591
Colin Clark (economist),"United Kingdom, Australia",male,1905
Jonathan Pila,Australia,male,1962
Navin M. Singhi,India,male,1949
Peter Turner (mathematician),England,male,1586
Mary Wheeler,United States of America,female,1938
Nicholas Bingham,United Kingdom,male,1945
Jacob Tamarkin,"Ukraine, Soviet Union, United States of America",male,1888
Brian Skyrms,United States of America,male,1938
David Bates (physicist),United Kingdom,male,1916
Giuseppe Maria Ficatelli,,male,1639
Marguerite Lehr,United States of America,female,1898
Jonathan Mock Beck,United States of America,male,1935
Sun Yuanhua,,,1582
Philippe G. Ciarlet,France,male,1938
Gustav Herglotz,Germany,male,1881
Sigve Tjøtta,Norway,male,1930
Roger Lyndon,United States of America,male,1917
Ludwig Boltzmann,Austria-Hungary,male,1844
Brian Kuttner,,male,1908
Zdzisław Krygowski,Poland,male,1872
Francis Guthrie,South Africa,male,1831
Curt Meyer,Germany,male,1919
Thomas Muirhead Flett,United Kingdom,male,1923
Gerhard Hochschild,United States of America,male,1915
Len Cook,New Zealand,male,1949
Bojidar Spiriev,,male,1932
Kenneth I. Gross,United States of America,male,1938
Jean-Pierre Bourguignon,France,male,1947
Edward Neuman,,male,
Ludwig Schlesinger,Germany,male,1864
Richard A. Brualdi,United States of America,male,1939
Cristian S. Calude,"Romania, New Zealand",male,1952
Harry Swinney,United States of America,male,1939
Arne Broman,Sweden,male,1913
Michelle Francl,United States of America,female,
Jörg Bewersdorff,Germany,male,1958
Sandy Green (mathematician),United Kingdom,male,1926
Daya-Nand Verma,India,male,1933
Georg Tannstetter,Germany,male,1482
Malabika Pramanik,,female,
Honoré Fabri,France,male,1607
William Moore (British mathematician),United Kingdom of Great Britain and Ireland,male,
Sergei Konyagin,"Soviet Union, Russia",male,1957
Sigmundur Gudmundsson,"Iceland, Sweden",male,1960
Sabir Gusein-Zade,Russia,male,1950
Charles Dupin,France,male,1784
Pyotr Semyonov-Tyan-Shansky,Russian Empire,male,1827
William Boone (mathematician),United States of America,male,1920
Louis Rosenhead,,male,1906
Pablo Ferrari,,male,1949
Oswald Teichmüller,Germany,male,1913
Victor Goryunov,Soviet Union,male,
Nikolai Brashman,"Austrian Empire, Russian Empire",male,1796
Henry Wallman,Sweden,male,1915
Aleksander Rajchman,Poland,male,1890
John McWhirter (mathematician),,male,
Heinrich G. F. Schröder,Germany,male,1810
Carlos Biggeri,Argentina,male,1908
Vincenzo Mollame,,male,1848
Tjalling Koopmans,"Kingdom of the Netherlands, United States of America",male,1910
Domenico Maria Novara da Ferrara,,male,1454
Zvonimir Janko,Croatia,male,1932
Albert Joseph McConnell,,male,
George Maltese,United States of America,male,1931
Ivan M. Niven,"Canada, United States of America",male,1915
Surindar Kumar Trehan,,male,1931
Jean Berstel,,male,1941
Petr Ufimtsev,"Russia, Soviet people",male,1931
George Ridsdale Goldsbrough,,male,1881
